Acrochordus granulatus	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	granulatus	SCHNEIDER	1799	E: Little filesnake, Marine File Snake, Wart SnakeG: Warzenschlange, Sdostasiatische Warzenschlange	Malaysia	0	0
Acrochordus granulatus	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	granulatus	SCHNEIDER	1799	E: Little filesnake, Marine File Snake, Wart SnakeG: Warzenschlange, Sdostasiatische Warzenschlange	Australia	0	0
Acrochordus granulatus	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	granulatus	SCHNEIDER	1799	E: Little filesnake, Marine File Snake, Wart SnakeG: Warzenschlange, Sdostasiatische Warzenschlange	Sri Lanka	0	0
Acrochordus granulatus	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	granulatus	SCHNEIDER	1799	E: Little filesnake, Marine File Snake, Wart SnakeG: Warzenschlange, Sdostasiatische Warzenschlange	Cambodia	0	0
Acrochordus granulatus	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	granulatus	SCHNEIDER	1799	E: Little filesnake, Marine File Snake, Wart SnakeG: Warzenschlange, Sdostasiatische Warzenschlange	Guinea	0	0
Acrochordus granulatus	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	granulatus	SCHNEIDER	1799	E: Little filesnake, Marine File Snake, Wart SnakeG: Warzenschlange, Sdostasiatische Warzenschlange	Papua New Guinea	0	0
Acrochordus granulatus	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	granulatus	SCHNEIDER	1799	E: Little filesnake, Marine File Snake, Wart SnakeG: Warzenschlange, Sdostasiatische Warzenschlange	Singapore	0	0
Acrochordus granulatus	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	granulatus	SCHNEIDER	1799	E: Little filesnake, Marine File Snake, Wart SnakeG: Warzenschlange, Sdostasiatische Warzenschlange	Solomon Islands	0	0
Acrochordus javanicus	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	javanicus	HORNSTEDT	1787	E: Javan File Snake, Elephant Trunk SnakeG: Java-Warzenschlange	Indonesia	0	0
Acrochordus javanicus	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	javanicus	HORNSTEDT	1787	E: Javan File Snake, Elephant Trunk SnakeG: Java-Warzenschlange	Vietnam	0	0
Acrochordus javanicus	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	javanicus	HORNSTEDT	1787	E: Javan File Snake, Elephant Trunk SnakeG: Java-Warzenschlange	Thailand	0	0
Acrochordus javanicus	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	javanicus	HORNSTEDT	1787	E: Javan File Snake, Elephant Trunk SnakeG: Java-Warzenschlange	Malaysia	0	0
Acrochordus javanicus	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	javanicus	HORNSTEDT	1787	E: Javan File Snake, Elephant Trunk SnakeG: Java-Warzenschlange	Cambodia	0	0
Acrochordus javanicus	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	javanicus	HORNSTEDT	1787	E: Javan File Snake, Elephant Trunk SnakeG: Java-Warzenschlange	Guinea	0	0
Acrochordus javanicus	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	javanicus	HORNSTEDT	1787	E: Javan File Snake, Elephant Trunk SnakeG: Java-Warzenschlange	Singapore	0	0
Acutotyphlops infralabialis	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Acutotyphlops	infralabialis	WAITE	1918	Red Blind Snake	Guinea	0	0
Acutotyphlops infralabialis	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Acutotyphlops	infralabialis	WAITE	1918	Red Blind Snake	Papua New Guinea	0	0
Acutotyphlops infralabialis	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Acutotyphlops	infralabialis	WAITE	1918	Red Blind Snake	Georgia	0	0
Acutotyphlops infralabialis	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Acutotyphlops	infralabialis	WAITE	1918	Red Blind Snake	Solomon Islands	0	0
Acutotyphlops kunuaensis	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Acutotyphlops	kunuaensis	WALLACH	1995	Kunua Blind Snake	Guinea	0	0
Acutotyphlops kunuaensis	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Acutotyphlops	kunuaensis	WALLACH	1995	Kunua Blind Snake	Papua New Guinea	0	0
Acutotyphlops kunuaensis	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Acutotyphlops	kunuaensis	WALLACH	1995	Kunua Blind Snake	Solomon Islands	0	0
Acutotyphlops solomonis	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Acutotyphlops	solomonis	PARKER	1939		Guinea	0	0
Acutotyphlops solomonis	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Acutotyphlops	solomonis	PARKER	1939		Papua New Guinea	0	0
Acutotyphlops solomonis	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Acutotyphlops	solomonis	PARKER	1939		Solomon Islands	0	0
Acutotyphlops subocularis	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Acutotyphlops	subocularis	WAITE	1897	Bismarck sharp-nosed blindsnake	Ireland	0	0
