Adelphicos latifasciatum	Dipsadidae, Colubroidea, Serpentes (snakes)	Adelphicos	latifasciatum	LYNCH & SMITH	1966	Oaxacan Burrowing Snake	Mexico	No	No
Adelphicos nigrilatum	Dipsadidae, Colubroidea, Serpentes (snakes)	Adelphicos	nigrilatum	SMITH	1942	Burrowing Snake	Mexico	No	No
Adelphicos quadrivirgatum	Dipsadidae, Colubroidea, Serpentes (snakes)	Adelphicos	quadrivirgatum	JAN	1862	Middle American Burrowing Snake	Mexico	No	No
Adelphicos quadrivirgatum	Dipsadidae, Colubroidea, Serpentes (snakes)	Adelphicos	quadrivirgatum	JAN	1862	Middle American Burrowing Snake	Guatemala	No	No
Adelphicos quadrivirgatum	Dipsadidae, Colubroidea, Serpentes (snakes)	Adelphicos	quadrivirgatum	JAN	1862	Middle American Burrowing Snake	Honduras	No	No
Adelphicos quadrivirgatum	Dipsadidae, Colubroidea, Serpentes (snakes)	Adelphicos	quadrivirgatum	JAN	1862	Middle American Burrowing Snake	Nicaragua	No	No
Adelphicos quadrivirgatum	Dipsadidae, Colubroidea, Serpentes (snakes)	Adelphicos	quadrivirgatum	JAN	1862	Middle American Burrowing Snake	Belize	No	No
Adelphicos veraepacis	Dipsadidae, Colubroidea, Serpentes (snakes)	Adelphicos	veraepacis	STUART	1941	Stuart's Burrowing Snake	Mexico	No	No
Adelphicos veraepacis	Dipsadidae, Colubroidea, Serpentes (snakes)	Adelphicos	veraepacis	STUART	1941	Stuart's Burrowing Snake	Guatemala	No	No
Atheris barbouri	Viperidae, Viperinae, Serpentes (snakes)	Atheris	barbouri	LOVERIDGE	1930	Uzungwe Mountain Bush Viper	Tanzania	Yes	Yes
Aeluroglena cucullata	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Aeluroglena	cucullata	BOULENGER	1898	Somali Snake	Ethiopia	No	No
Aeluroglena cucullata	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Aeluroglena	cucullata	BOULENGER	1898	Somali Snake	Somalia	No	No
Afronatrix anoscopus	Natricidae, Colubroidea, Serpentes (snakes)	Afronatrix	anoscopus	COPE	1861	African Brown Water Snake	Nigeria	No	No
Afronatrix anoscopus	Natricidae, Colubroidea, Serpentes (snakes)	Afronatrix	anoscopus	COPE	1861	African Brown Water Snake	Ghana	No	No
Afronatrix anoscopus	Natricidae, Colubroidea, Serpentes (snakes)	Afronatrix	anoscopus	COPE	1861	African Brown Water Snake	Cameroon	No	No
