Anilios bituberculatus	Prong-snouted Blind Snake	PETERS	1863	No	No
Anilios broomi	Faint-striped Blind Snake, Striate Blind Snake	BOULENGER	1898	No	No
Anilios centralis	Centralian Blind Snake	STORR	1984	No	No
Anilios chamodracaena	Cape York Striped Blind Snake	INGRAM & COVACEVICH	1993	No	No
Anilios diversus	Northern Blind Snake	WAITE	1894	No	No
Anilios endoterus	Interior Blind Snake	WAITE	1918	No	No
Anilios erycinus	Northern New Guinea blindsnake	WERNER	1901	No	No
Anilios ganei		APLIN	1998	No	No
Anilios grypus	long-beaked Blind Snake	WAITE	1918	No	No
Anilios guentheri	Top End Blind Snake	PETERS	1865	No	No
Anilios hamatus	Pale-headed Blind Snake	STORR	1981	No	No
Anilios howi	Kimberley deep-soil Blind Snake	STORR	1983	No	No
Anilios kimberleyensis	Kimberley Shallow-soil Blind Snake	STORR	1981	No	No
Anilios leptosomus	Murchison Blind Snake	ROBB	1972	No	No
Anilios leucoproctus	White-tailed blindsnake	BOULENGER	1889	No	No
Anilios ligatus	Robust Blind Snake	PETERS	1879	No	No
Anilios longissimus		APLIN	1998	No	No
Anilios margaretae	Buff-snouted Blind Snake	STORR	1981	No	No
Anilios micrommus	Small-eyed Blind Snake	STORR	1981	No	No
Anilios minimus	Groote Dwarf Blind Snake	KINGHORN	1929	No	No
Anilios nema		SHEA & HORNER	1997	No	No
Anilios nigrescens	Blackish Blind Snake	GRAY	1845	No	No
Anilios nigricaudus		BOULENGER	1895	No	No
Anilios nigroterminatus		PARKER	1931	No	No
Anilios pilbarensis		APLIN	1993	No	No
Anilios pinguis	Rotund Blind Snake	WAITE	1897	No	No
Anilios polygrammicus	Southern New Guinea blindsnake	SCHLEGEL	1839	No	No
Anilios proximus	Proximus Blind Snake	WAITE	1893	No	No
Anilios robertsi		COUPER, COVACEVICH, WILSON	1998	No	No
Anilios silvia	Great Sandy Blind Snake, Sylvia's Blind Snake	INGRAM & COVACEVICH	1993	No	No
Anilios splendidus		APLIN	1998	No	No
Anilios torresianus	Southern New Guinea blindsnake	BOULENGER	1889	No	No
Anilios tovelli	Darwin Blind Snake	LOVERIDGE	1945	No	No
Anilios troglodytes	Sandamara Blind Snake	STORR	1981	No	No
Anilios unguirostris	Claw-snouted Blind Snake	PETERS	1867	No	No
Anilios waitii	Beaked Blind Snake	BOULENGER	1895	No	No
Anilios wiedii	Brown-snouted Blind Snake	PETERS	1867	No	No
Anilios yampiensis	Yampi Blind Snake	STORR	1981	No	No
Anilios yirrikalae	Yirrkala Blind Snake	KINGHORN	1942	No	No
Anilius scytale	Coral Cylinder Snakes	LINNAEUS	1758	No	No
Anomalepis aspinosus	Taylor's Peru Blind Snake	TAYLOR	1939	No	No
Anomalepis colombia		MARX	1953	No	No
Anomalepis flavapices	Ecuador Blind Snake	PETERS	1957	No	No
Anomalepis mexicanus	Mexican Blind Snake	JAN	1860	No	No
Anomochilus leonardi	Leonard's Pipe Snake, Leonard's Burrowing Snake	SMITH	1940	No	No
Anomochilus monticola		DAS, LAKIM, LIM & HUI	2008	No	No
Anomochilus weberi	Webers Cylinder Snake	LIDTH DE JEUDE	1890	No	No
Anoplohydrus aemulans		WERNER	1909	No	No
Antaioserpens warro	North-eastern Plain-nosed Burrowing Snake, Robust Burrowing Snake	DE VIS	1884	Yes	No
Antaresia childreni	Children's Python	GRAY	1842	No	No
Antaresia maculosa	Eastern Small-blotched Python, Eastern Childrens Python	PETERS	1873	No	No
Antaresia perthensis	Pygmy Python	STULL	1932	No	No
Antaresia stimsoni	Large-blotched Python, Stimsons Python	SMITH	1985	No	No
Aparallactus capensis	Cape Centipede Eater	SMITH	1849	No	No
Aparallactus guentheri	Black Centipede Eater	BOULENGER	1895	No	No
Aparallactus jacksonii	Jacksons centipede-eater	GNTHER	1888	No	No
Aparallactus lineatus	Lined Centipede-eater	PETERS	1870	No	No
Aparallactus lunulatus	Plumbeous or Reticulated Centipede Eater	PETERS	1854	No	No
Aparallactus modestus	Western Forest Centipede-eater	GNTHER	1859	No	No
Aparallactus moeruensis	Zaire Centipede-eater.	DE WITTE & LAURENT	1943	No	No
Aparallactus niger		BOULENGER	1897	No	No
Aparallactus nigriceps	Mozambique Centipede Eater	PETERS	1854	No	No
Aparallactus turneri	Malindi Centipede-eater	LOVERIDGE	1935	No	No
Aparallactus werneri	Usambara Centipede-eater	BOULENGER	1895	No	No
Aplopeltura boa	Blunthead Slug Snake	BOIE	1828	No	No
Apostolepis albicollaris		DE LEMA	2002	No	No
Apostolepis ambiniger		PETERS	1869	No	No
Apostolepis ammodites		FERRAREZZI, ERRITTO BARBO & ESPAA ALBUQUERQUE	2005	No	No
